"prv";"provincia"
0;"                              "
1;"CAPITAL FEDERAL               "
2;"BUENOS AIRES                  "
3;"CATAMARCA                     "
4;"CORDOBA                       "
5;"CORRIENTES                    "
6;"CHACO                         "
7;"CHUBUT                        "
8;"ENTRE RIOS                    "
9;"FORMOSA                       "
10;"JUJUY                         "
11;"LA PAMPA                      "
12;"LA RIOJA                      "
13;"MENDOZA                       "
14;"MISIONES                      "
15;"NEUQUEN                       "
16;"RIO NEGRO                     "
17;"SALTA                         "
18;"SAN JUAN                      "
19;"SAN LUIS                      "
20;"SANTA CRUZ                    "
21;"SANTA FE                      "
22;"SANTIAGO DEL ESTERO           "
23;"TIERRA DEL FUEGO              "
24;"TUCUMAN                       "
25;"EXTERIOR                      "
