"loc";"prv";"localidad"
0;0;"                              "
1;1;"CIUDAD AUTONOMA BUENOS AIRES  "
1;2;"BUENOS AIRES                  "
1;3;"CATAMARCA                     "
1;4;"CORDOBA                       "
1;5;"CORRIENTES                    "
1;6;"CHACO                         "
1;7;"CHUBUT                        "
1;8;"ENTRE RIOS                    "
1;9;"FORMOSA                       "
1;10;"SAN SALVADOR DE JUJUY         "
1;11;"LA PAMPA                      "
1;12;"LA RIOJA                      "
1;13;"MENDOZA                       "
1;14;"MISIONES                      "
1;15;"NEUQUEN                       "
1;16;"RIO NEGRO                     "
1;17;"SALTA                         "
1;18;"SAN JUAN                      "
1;19;"SAN LUIS                      "
1;20;"SANTA CRUZ                    "
1;21;"SANTA FE                      "
1;22;"SANTIAGO DEL ESTERO           "
1;23;"TIERRA DEL FUEGO              "
1;24;"TUCUMAN                       "
2;2;"MONTE CHINGOLO                "
2;16;"ÑIRIHUAO                      "
2;22;"AÑATUYA                       "
3;2;"ABASTO                        "
3;13;"AGRELO                        "
3;14;"ALBA POSSE                    "
4;2;"ABBOTT                        "
4;4;"ACHIRAS (DEPTO DE RIO CUARTO) "
5;5;"ABELI                         "
5;21;"AARON CASTELLANOS             "
5;24;"ACONQUIJA                     "
6;6;"ARROYO QUINTANA               "
6;10;"ABRA PAMPA                    "
6;14;"APOSTOLES                     "
6;16;"AGUADA DE CORDOBA             "
7;2;"ACASSUSO                      "
7;7;"ALDEA APELEG                  "
7;12;"OLTA                          "
7;14;"ARISTOBULO DEL VALLE          "
8;4;"ADELIA MARIA                  "
8;8;"ALBERTO GERCHUNOFF            "
9;6;"BARRANQUERAS                  "
9;9;"ALTO ALEGRE                   "
10;10;"AGUA CHICA                    "
10;11;"ALTA ITALIA                   "
10;13;"ALGARROBAL ARRIBA             "
11;11;"ANGUIL                        "
12;2;"ADELA CORTI                   "
12;4;"AGUA DE ORO                   "
12;17;"AGUARAY                       "
12;18;"ALBARDON                      "
13;6;"BRIO LA CAPILLA               "
13;7;"ALTO RIO SENGUER              "
13;13;"ALPATACAL                     "
13;15;"ALUMINE                       "
13;18;"ALBARRACIN                    "
13;21;"ALCORTA                       "
14;2;"ADOLFO F ORMA APDRO FCGB      "
14;5;"AGUARA CUA                    "
14;12;"AIMOGASTA                     "
14;14;"ARROYO MAGDALENA              "
14;15;"ANDACOLLO                     "
14;21;"ALDAO                         "
15;2;"ADOLFO GONZALES CHAVES        "
15;15;"ANQUINCO                      "
15;16;"AGUARA                        "
16;2;"INGENIERO ADOLFO SOURDEAUX    "
16;16;"ALANITOS                      "
16;24;"AGUILARES                     "
17;2;"ADROGUE                       "
17;3;"ALIJILAN                      "
17;13;"ALTO DEL SALVADOR             "
17;17;"ALEM                          "
17;25;"PUNTA DEL ESTE - URUGUAY      "
18;16;"ALLEN                         "
18;18;"ALTO HUACO                    "
18;21;"ALVEAR                        "
19;18;"AMBAS PUNTILLAS               "
19;19;"ALGARROBAL (RENCA)            "
19;20;"CAÑADA MOLINARI               "
19;24;"ALDERETES                     "
20;5;"ALAMO (GOYA - DEPTO DE GOYA)  "
20;20;"CAÑADON BOTELLO               "
20;21;"AMENABAR                      "
21;8;"ALDEA MARIA LUISA             "
21;21;"ANDINO                        "
22;22;"AGUA SALADA                   "
24;2;"AGUSTIN FERRARI               "
24;12;"AMILGANCHO                    "
24;24;"ALTA GRACIA DE VILLA BURRUYACU"
26;2;"AGUSTIN ROCA                  "
26;15;"BAJADA DEL AGRIO              "
27;7;"BAHIA CRACHER                 "
29;5;"ALGARROBALES                  "
29;20;"CAÑADON SECO                  "
